Date,Open,High,Low,Close
2020-01-01,100.51248386237278,100.58045544414077,100.3871797484603,100.49671415301123
2020-01-02,100.0256347669634,100.09207265573048,100.02031730648561,100.03896667344443
2020-01-03,101.0904382792434,101.33021553384138,100.94628386810501,101.00199502836314
2020-01-04,102.3166203691685,102.42399538743199,101.87668152887217,102.05410109810623
2020-01-05,100.2388601735612,100.49000257523211,100.04670144121624,100.47321685625823
2020-01-06,101.15149020341586,101.15378195824995,100.34042401507766,100.64891196379371
2020-01-07,102.52938671051209,102.66559974990481,102.35668511638944,102.63716620250669
2020-01-08,101.98527716368142,102.29974236742373,101.83650183809351,101.99936520051628
2020-01-09,100.6142649164156,101.33436247430957,100.41102869371664,100.93535354655965
2020-01-10,102.14611982440628,102.61596052474266,101.89254935450654,102.1190546402303
2020-01-11,101.40559892888021,101.69631563253326,101.23299751302928,101.2833628143321
2020-01-12,101.14530998483312,101.91965985486516,101.08817564693697,101.44980731912335
2020-01-13,102.35645696511962,102.52613935043046,102.25698414587418,102.32457948585753
2020-01-14,100.45087359266095,100.8247074597387,100.1269457115522,100.33459526602203
2020-01-15,100.63582014076475,100.73505479428879,100.37714579540659,100.68625050962943
2020-01-16,102.18744281071618,102.56202283633833,101.47081339961068,102.01006650328372
2020-01-17,101.87106715810536,102.06041511537046,101.41025842655655,101.71846186899613
2020-01-18,102.76625465705068,103.71868084457158,102.75822168216057,103.20209517435498
2020-01-19,101.70002433653346,102.42317649743553,101.49882263500625,102.13385950102607
2020-01-20,102.0277662922263,102.1974635955371,101.69586908634871,101.78096397013728
2020-01-21,104.88150118135259,105.15213272468672,104.62766379585969,104.80751899532598
2020-01-22,103.00449509186967,103.7461841126535,103.00053309332137,103.26178779126721
2020-01-23,103.68650587961274,103.75240705832957,103.415325867632,103.69775319889392
2020-01-24,102.3133452769643,102.38583619493286,102.06676061143038,102.34498347339634
2020-01-25,103.17386698380511,103.53066055623468,102.74056154584535,103.36158320837421
2020-01-26,103.69611571659549,104.2600643461467,103.65596528381457,104.1497354846429
2020-01-27,103.38492454463945,103.62633621320765,102.59238662423019,103.01716739870916
2020-01-28,104.66901451623967,104.82435433634151,104.45119822188829,104.66960008514984
2020-01-29,104.23135764688605,104.51117152440604,103.22785723250333,103.81529293413537
2020-01-30,104.25409574554173,104.48507871855328,103.55464498386976,104.24245502536277
2020-01-31,104.03545390837044,104.17918693192382,103.44957000152336,104.04674980507492
2020-02-01,106.91081692271801,107.19082055988763,106.60989042879403,106.61103949814321
2020-02-02,104.51452537649743,105.33964349279195,104.3798416445868,104.8514769606818
2020-02-03,104.14681358649327,104.28192667878636,103.87105192459406,103.90929887140092
2020-02-04,106.07361942173823,106.30649302562131,105.69290272616078,105.88733196894964
2020-02-05,104.33220528451254,104.48504595981714,103.89205831568805,103.93738541422111
2020-02-06,105.10092399865917,105.63161485357689,104.99231993467258,105.45612681363846
2020-02-07,103.09443149234964,104.14406532530553,102.84021253365752,103.37215115126234
2020-02-08,104.75198208416474,104.84524827680336,103.99420546476212,104.08365336600535
2020-02-09,105.99273107437587,106.19641583198337,105.38174914899898,105.68411954429743
2020-02-10,106.40716257381249,106.45495578951815,105.9341709072729,106.29648975421209
2020-02-11,106.13729409636694,106.3399529304586,105.50003704740608,105.7954521141224
2020-02-12,105.56519610843917,105.62798996844101,105.47211386795962,105.56974647463335
